antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'P0499'}),frozenset({'P0051'}),0.7570093457943925,0.8130841121495327,0.6822429906542056,0.9012345679012346,1.1084149283383,1.0,0.06673071884007342,1.8925233644859816,0.4025289778714439,0.7684210526315789,0.47160493827160505,0.8701575138356747
frozenset({'P0051'}),frozenset({'P0499'}),0.8130841121495327,0.7570093457943925,0.6822429906542056,0.8390804597701149,1.1084149283383,1.0,0.06673071884007342,1.5100133511348464,0.5232876712328771,0.7684210526315789,0.3377541998231653,0.8701575138356747
frozenset({'P0499'}),frozenset({'P0364'}),0.7570093457943925,0.8691588785046729,0.6822429906542056,0.9012345679012346,1.0369042878003452,1.0,0.024281596645995274,1.3247663551401871,0.14646996838777654,0.7227722772277227,0.2451499118165786,0.8430904022301872
frozenset({'P0364'}),frozenset({'P0499'}),0.8691588785046729,0.7570093457943925,0.6822429906542056,0.7849462365591398,1.0369042878003452,1.0,0.024281596645995274,1.1299065420560748,0.2720156555772993,0.7227722772277227,0.1149710504549214,0.8430904022301872
frozenset({'P0261'}),frozenset({'P0499'}),0.8411214953271028,0.7570093457943925,0.6635514018691588,0.7888888888888889,1.0421124828532236,1.0,0.026814568957987617,1.1510083620265616,0.25434962717481374,0.7099999999999999,0.13119658119658117,0.832716049382716
frozenset({'P0499'}),frozenset({'P0261'}),0.7570093457943925,0.8411214953271028,0.6635514018691588,0.8765432098765432,1.0421124828532236,1.0,0.026814568957987617,1.2869158878504674,0.16630552546045516,0.7099999999999999,0.22294843863471328,0.832716049382716
frozenset({'P0499'}),frozenset({'P0103'}),0.7570093457943925,0.8504672897196262,0.6542056074766355,0.8641975308641975,1.0161443494776827,1.0,0.01039392086645119,1.1011045029736617,0.06538461538461521,0.6862745098039216,0.09182098765432077,0.8167141500474833
frozenset({'P0103'}),frozenset({'P0499'}),0.8504672897196262,0.7570093457943925,0.6542056074766355,0.7692307692307692,1.0161443494776827,1.0,0.01039392086645119,1.0529595015576323,0.1062499999999997,0.6862745098039216,0.05029585798816551,0.8167141500474833
frozenset({'P0499'}),frozenset({'P0569'}),0.7570093457943925,0.822429906542056,0.6448598130841121,0.8518518518518519,1.035774410774411,1.0,0.022272687570966898,1.1985981308411218,0.14214046822742474,0.6900000000000001,0.16569200779727108,0.8179713804713804
frozenset({'P0569'}),frozenset({'P0499'}),0.822429906542056,0.7570093457943925,0.6448598130841121,0.7840909090909091,1.0357744107744107,1.0,0.022272687570966898,1.1254303984259715,0.1945080091533181,0.6900000000000001,0.11145104895104893,0.8179713804713804
frozenset({'P0664'}),frozenset({'P0499'}),0.7663551401869159,0.7570093457943925,0.6074766355140186,0.7926829268292682,1.0471243601324902,1.0,0.027338632194951473,1.1720725673446946,0.19261538461538424,0.6632653061224488,0.1468105065666039,0.7975760313158686
frozenset({'P0499'}),frozenset({'P0664'}),0.7570093457943925,0.7663551401869159,0.6074766355140186,0.8024691358024691,1.0471243601324902,1.0,0.027338632194951473,1.1828271028037385,0.18520710059171563,0.6632653061224488,0.15456790123456804,0.7975760313158686
frozenset({'P0499'}),frozenset({'P0500'}),0.7570093457943925,0.7850467289719626,0.5981308411214953,0.7901234567901234,1.006466784244562,1.0,0.0038431304044020953,1.0241891148982956,0.026442307692307446,0.6336633663366337,0.0236178207192699,0.7760141093474426
